id_subsistema,idhistorico_carga,subsistema,data,valor
5,205942.0,SIN,12/02/2007,50331.81
3,205943.0,Nordeste,13/02/2007,7637.84
4,205944.0,Norte,13/02/2007,3389.34
2,205945.0,Sul,13/02/2007,8889.78
5,205946.0,SIN,13/02/2007,51119.22
1,205947.0,Sudeste,13/02/2007,31202.26
5,205948.0,SIN,14/02/2007,51555.39
1,205949.0,Sudeste,14/02/2007,31697.67
4,205950.0,Norte,14/02/2007,3415.04
2,205951.0,Sul,14/02/2007,9143.06
3,205952.0,Nordeste,14/02/2007,7299.62
4,205953.0,Norte,15/02/2007,3311.03
3,205954.0,Nordeste,15/02/2007,7274.63
2,205955.0,Sul,15/02/2007,9249.76
1,205956.0,Sudeste,15/02/2007,31903.54
5,205957.0,SIN,15/02/2007,51738.96000000001
5,205958.0,SIN,16/02/2007,52346.36
1,205959.0,Sudeste,16/02/2007,32395.59
3,205960.0,Nordeste,16/02/2007,7126.52
2,205961.0,Sul,16/02/2007,9437.71
4,205962.0,Norte,16/02/2007,3386.54
4,205963.0,Norte,17/02/2007,3231.25
3,205964.0,Nordeste,17/02/2007,6685.67
2,205965.0,Sul,17/02/2007,8023.61
1,205966.0,Sudeste,17/02/2007,29312.38
5,205967.0,SIN,17/02/2007,47252.91
2,205968.0,Sul,18/02/2007,6450.11
1,205969.0,Sudeste,18/02/2007,26282.51
4,205970.0,Norte,18/02/2007,3163.65
3,205971.0,Nordeste,18/02/2007,6159.38
5,205972.0,SIN,18/02/2007,42055.649999999994
5,205973.0,SIN,19/02/2007,45063.84
1,205974.0,Sudeste,19/02/2007,28223.73
4,205975.0,Norte,19/02/2007,3159.77
3,205976.0,Nordeste,19/02/2007,6165.0
2,205977.0,Sul,19/02/2007,7515.34
1,205978.0,Sudeste,20/02/2007,28075.65
2,205979.0,Sul,20/02/2007,7527.97
5,205980.0,SIN,20/02/2007,44827.87
4,205981.0,Norte,20/02/2007,3104.38
3,205982.0,Nordeste,20/02/2007,6119.87
4,205983.0,Norte,21/02/2007,3182.37
3,205984.0,Nordeste,21/02/2007,6467.32
2,205985.0,Sul,21/02/2007,8568.96
1,205986.0,Sudeste,21/02/2007,31133.23
