dt,SMA_1,SMA_32,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_4_4.0,BBands_top_4_4.0,BBands_bot_4_4.0
2017-12-19,174.69815789473685,159.53645794994785,0.0,,,0.0,179.10454768386484,189.6747710541703,168.53432431355938
2017-12-20,173.1417948717949,159.413199715066,0.0,,,0.0,177.29475830657546,191.25989594442527,163.32962066872565
2017-12-21,173.17511627906978,159.56116723767582,0.0,,,0.0,175.17187070967626,185.8653318968694,164.4784095224831
2017-12-22,173.17511627906978,159.75884863720134,0.0,,,0.0,173.54754633116784,176.20532698757404,170.88976567476163
2017-12-23,166.30150000000003,159.7469797707263,0.0,,,0.0,171.44838185748364,183.3347209099061,159.56204280506114
2017-12-24,172.22222222222229,159.82051602823952,0.0,,,0.0,171.21848869509046,182.67990951904244,159.75706787113847
2017-12-25,173.5,160.01142472840564,0.0,,,0.0,171.29970962532303,182.9944189932226,159.60500025742346
2017-12-26,193.79495268138805,160.93400361189742,0.0,,,0.0,176.4546687259026,217.94760564388207,134.96173180792312
2017-12-27,199.6549118387909,162.10569694943837,0.0,,,0.0,184.7930216856003,233.26849501050287,136.31754836069774
2017-12-28,218.48910109326496,163.9528339571692,0.0,,,0.0,196.35974140336097,260.5380127013815,132.18147010534045
2017-12-29,218.5785610728525,166.3919822671973,0.0,,,0.0,207.6293816715741,252.02765326305428,163.2311100800939
2017-12-30,219.3023740485684,168.989929146485,0.0,,,0.0,214.0062370133692,247.17319764746304,180.8392763792753
2017-12-31,220.14311964066965,171.66708184931065,0.0,,,0.0,219.12828896383888,221.7898289747264,216.46674895295135
2018-01-01,220.75,174.27935312539128,0.0,,,0.0,219.69351369052265,222.98861210584684,216.3984152751985
2018-01-02,220.75,176.87327180009007,0.0,,,0.0,220.2363734223095,222.61012624903287,217.8626205955861
2018-01-03,220.75,179.43141987701316,0.0,,,0.0,220.5982799101674,221.64942752670964,219.5471322936252
2018-01-04,155.27272727272728,179.9185610253385,-1.0,,,0.0,204.3806818181818,317.7906449228624,90.97071871350126
2018-01-05,154.30875576036863,180.3601586560079,0.0,,,0.0,187.770370758274,319.6959315905127,55.8448099260352
2018-01-06,154.52880184331795,180.8033141483942,0.0,,,0.0,171.21507121910346,285.6200114604161,56.81013097779078
2018-01-07,154.74884792626727,181.0142156460901,0.0,,,0.0,154.7147832006703,156.14574000031192,153.28382640102868
2018-01-08,153.49397948565485,181.1859025050168,0.0,,,0.0,154.27009625390218,156.16744550079045,152.3727470070139
