dt,close,Soma_Volumes,return,position_linear_regression,return_linear_regression,position_ridge_regression,return_ridge_regression,position_logistic_regression,return_logistic_regression,position_lgbm_regression,return_lgbm_regression,position_lgbm_classifier,return_lgbm_classifier,position_xgboost_regression,return_xgboost_regression,position_xgboost_classifier,return_xgboost_classifier,position_gnb,return_gnb,position_random_forest,return_random_forest,position_svc,return_svc,position_linear_svc,return_linear_svc
12/04/19,197,5,0.1894535279312260,1,0.087434299,0,0,0,0,1,0.087434299,1,0.087434299,1,0.087434299,1,0.087434299,0,0,1,0.087434299,0,0,0,0
16/04/19,215,10,0.087434299,1,-0.128891013,1,-0.128891013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.128891013,0,0
24/04/19,189,5,-0.128891013,1,0.010526413,1,0.010526413,1,0.010526413,1,0.010526413,1,0.010526413,1,0.010526413,1,0.010526413,0,0,1,0.010526413,0,0,0,0
25/04/19,191,3,0.010526413,1,0.1090187376627960,0,0,0,0,1,0.1090187376627960,1,0.1090187376627960,1,0.1090187376627960,1,0.1090187376627960,0,0,1,0.1090187376627960,0,0,0,0
06/05/19,213,5,0.1090187376627960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007017573,0,0,0,0
14/05/19,214.5,5,0.007017573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/05/19,191,4,-0.11603631,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,1,0.088264954,0,0
20/05/19,208.625,4,0.088264954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/05/19,199.75,14,-0.043471797,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,1,0.022686063,0,0
28/05/19,204.3333333,6,0.022686063,1,-0.001632653,0,0,0,0,0,0,0,0,0,0,1,-0.001632653,0,0,0,0,0,0,0,0
03/06/19,204,0.7,-0.001632653,0,0,0,0,0,0,0,0,0,0,1,0.00732604,0,0,0,0,1,0.00732604,0,0,0,0
04/06/19,205.5,4,0.00732604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/06/19,202,5,-0.017178337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/06/19,200.4583333,6,-0.007661286,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,1,0.036931668,0,0
18/06/19,208,2,0.036931668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/06/19,197.5,8,-0.051799495,1,0.061368946,1,0.061368946,1,0.061368946,1,0.061368946,1,0.061368946,1,0.061368946,1,0.061368946,0,0,1,0.061368946,1,0.061368946,0,0
25/06/19,210,2,0.061368946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009478744,0,0,0,0
27/06/19,212,3,0.009478744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/07/19,204.5,5,-0.036018299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/19,203.2987013,7.7,-0.005891643,1,-0.001470353,0,0,0,0,0,0,0,0,0,0,1,-0.001470353,0,0,0,0,0,0,0,0
11/07/19,203,7,-0.001470353,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.004938282,0,0,0,0,0,0,0,0
12/07/19,202,5,-0.004938282,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.043851883,0,0,0,0,0,0,0,0
16/07/19,193.3333333,3,-0.043851883,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,1,0.022242944,0,0
17/07/19,197.6818182,27.5,0.022242944,1,0.011658607,0,0,0,0,0,0,1,0.011658607,1,0.011658607,1,0.011658607,0,0,1,0.011658607,0,0,0,0
18/07/19,200,5,0.011658607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/07/19,194.5,10,-0.027885203,0,0,0,0,0,0,1,0.017834868,1,0.017834868,1,0.017834868,1,0.017834868,0,0,1,0.017834868,1,0.017834868,0,0
24/07/19,198,5,0.017834868,0,0,0,0,0,0,1,0.005037794,1,0.005037794,1,0.005037794,1,0.005037794,0,0,1,0.005037794,0,0,0,0
