dt,SMA_1,SMA_30,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_7_7.0,BBands_top_7_7.0,BBands_bot_7_7.0
2024-01-02,69.1774193548387,71.33957731935995,0.0,,,0.0,70.0421042625974,72.66623015021028,67.41797837498453
2024-01-03,68.15376344086023,71.17629912801723,0.0,,,0.0,69.7215970862206,74.81375972530327,64.62943444713792
2024-01-04,68.3129943502825,71.02006560635999,0.0,,,0.0,69.43623454451615,75.21561022752563,63.65685886150669
2024-01-05,68.26610169491526,70.86226899619051,0.0,,,0.0,69.15928731053036,75.08324281177562,63.23533180928509
2024-01-06,68.21920903954802,70.73792273836898,0.0,,,0.0,68.88539028448334,74.44588199464734,63.32489857431933
2024-01-07,68.13386130963879,70.61823367845824,0.0,,,0.0,68.60904988429765,73.22822725843201,63.98987251016327
2024-01-08,69.84703433922996,70.55561501551577,0.0,,,0.0,68.58719764704479,72.88817940989357,64.28621588419601
2024-01-09,69.70064516129032,70.48808134262386,0.0,,,0.0,68.66194419082358,73.60810480268069,63.71578357896647
2024-01-10,68.28130760368664,70.37449422255638,0.0,,,0.0,68.68016478551307,73.54377384079274,63.81655573023341
2024-01-11,67.66780058651027,70.2394769763617,0.0,,,0.0,68.58799424783133,74.01651965074952,63.15946884491315
2024-01-12,68.2956932849598,70.12253603357279,0.0,,,0.0,68.59222161783768,74.00893534932797,63.17550788634739
2024-01-13,68.10461597887124,70.00151342894692,0.0,,,0.0,68.57585118059815,74.05471987846076,63.09698248273554
2024-01-14,68.0534442400452,69.88107268139288,0.0,,,0.0,68.56436302779906,74.09196766832474,63.03675838727339
2024-01-15,67.7536308937753,69.73791414129292,0.0,,,0.0,68.2653053927341,72.6535124726557,63.87709831281251
2024-01-16,67.3445192915876,69.5843443542383,0.0,,,0.0,67.92871598277658,70.2131327163059,65.64429924924725
2024-01-17,66.76881794997986,69.33470973925151,0.0,,,0.0,67.71264603224704,71.10060013868787,64.3246919258062
2024-01-18,65.96944836800917,69.14640331269462,0.0,,,0.0,67.47002428674688,72.93362398360037,62.00642458989338
2024-01-19,65.7628212743723,68.95906512131982,0.0,,,0.0,67.10818542809152,73.35839909175286,60.85797176443018
2024-01-20,65.61717203590389,68.77900547507083,0.0,,,0.0,66.7528362933819,73.19407244214148,60.311600144622325
2024-01-21,65.38559165165012,68.59430810747281,0.0,,,0.0,66.37171449503975,72.33967259195646,60.40375639812304
2024-01-22,65.23821216498155,68.4146874261145,0.0,,,0.0,66.01236896235493,71.0038752139326,61.02086271077725
2024-01-23,65.22590807467844,68.23893431995717,0.0,,,0.0,65.70971021708219,69.22167473402534,62.19774570013903
2024-01-24,65.26828022474558,68.06667963990022,0.0,,,0.0,65.49534768490587,67.3912221641746,63.59947320563714
2024-01-25,65.22451020332579,67.89633710003433,0.0,,,0.0,65.38892794709395,66.79586702111966,63.98198887306823
2024-01-26,65.19887580108123,67.72305583755376,0.0,,,0.0,65.30836430805236,66.2756844449948,64.34104417110993
2024-01-27,65.19075733991734,67.55239667747722,0.0,,,0.0,65.24744792291143,65.67542345668086,64.819472389142
2024-01-28,65.1004174573055,67.38225284829355,0.0,,,0.0,65.20670875229078,65.55251015851847,64.86090734606309
2024-01-29,66.74477841642228,67.26919585477839,0.0,,,0.0,65.4219325024966,69.21699475883871,61.6268702461545
2024-01-30,66.72827671203515,67.15786360814826,0.0,,,0.0,65.63655659354755,70.51735092741716,60.75576225967795
2024-01-31,66.73972554926885,67.04918779312389,0.0,,,0.0,65.84676306847945,71.25291528737112,60.44061084958777
2024-02-01,66.55555555555556,66.9617923331478,0.0,,,0.0,66.03691240451226,71.35303102762067,60.72079378140386
2024-02-02,66.32790697674419,66.90093045101058,0.0,,,0.0,66.19820257246413,70.958771158875,61.43763398605326
2024-02-03,66.26745689655172,66.83274586921956,0.0,,,0.0,66.35201679484047,70.15105393396605,62.55297965571488
2024-02-04,66.41590656284761,66.77107269815063,0.0,,,0.0,66.5399438099179,67.86856663182321,65.21132098801259
2024-02-05,67.290095377843,66.74010224276047,1.0,,,0.0,66.61784623297801,68.87909790545086,64.35659456050516
2024-02-06,70.48951669203565,66.81862408884037,0.0,,,0.0,67.15516623012094,76.94341396446856,57.36691849577331
2024-02-07,70.91564371067459,66.85424440122186,0.0,,,0.0,67.75172596746462,81.0239413317238,54.47951060320544
2024-02-08,71.1458136767961,66.90241668507205,0.0,,,0.0,68.40747712764184,83.43093495617956,53.384019299104125
2024-02-09,71.4123776129309,67.0067856853802,0.0,,,0.0,69.13383007566851,84.39116103076921,53.87649912056781
2024-02-10,71.7354666781801,67.14237455510252,0.0,,,0.0,69.91497433018685,83.79855965849833,56.03138900187537
