,datetime,Soma_Volumes,close,M,produto,submercado,expiracao,H,h,h_cresc
341,2021-10-07,54.0,303.9,3,SE CON MEN JAN/22,SE,2022-02-01,87,60,26
342,2021-10-08,24.0,307.4370833333333,3,SE CON MEN JAN/22,SE,2022-02-01,87,59,27
343,2021-10-11,2.0,320.0,3,SE CON MEN JAN/22,SE,2022-02-01,87,58,28
344,2021-10-13,27.1,310.5719557195572,3,SE CON MEN JAN/22,SE,2022-02-01,87,57,29
345,2021-10-14,80.3,293.55180572851805,3,SE CON MEN JAN/22,SE,2022-02-01,87,56,30
346,2021-10-15,74.0,279.895945945946,3,SE CON MEN JAN/22,SE,2022-02-01,87,55,31
347,2021-10-18,47.0,268.02978723404254,3,SE CON MEN JAN/22,SE,2022-02-01,87,54,32
348,2021-10-19,41.7,317.3453237410072,3,SE CON MEN JAN/22,SE,2022-02-01,87,53,33
349,2021-10-20,61.0,309.6786885245902,3,SE CON MEN JAN/22,SE,2022-02-01,87,52,34
350,2021-10-21,131.7,297.771298405467,3,SE CON MEN JAN/22,SE,2022-02-01,87,51,35
351,2021-10-22,93.0,278.8666666666667,3,SE CON MEN JAN/22,SE,2022-02-01,87,50,36
352,2021-10-25,93.39,255.6937573616019,3,SE CON MEN JAN/22,SE,2022-02-01,87,49,37
353,2021-10-26,50.3,243.80616302186883,3,SE CON MEN JAN/22,SE,2022-02-01,87,48,38
354,2021-10-27,36.3,259.7658402203857,3,SE CON MEN JAN/22,SE,2022-02-01,87,47,39
355,2021-10-29,33.5,277.07462686567163,3,SE CON MEN JAN/22,SE,2022-02-01,87,46,40
356,2021-11-01,67.0,267.4694029850747,2,SE CON MEN JAN/22,SE,2022-02-01,87,45,41
357,2021-11-03,153.0,235.1176470588236,2,SE CON MEN JAN/22,SE,2022-02-01,87,44,42
358,2021-11-04,85.2,240.34894366197184,2,SE CON MEN JAN/22,SE,2022-02-01,87,43,43
359,2021-11-05,125.0,228.3248,2,SE CON MEN JAN/22,SE,2022-02-01,87,42,44
360,2021-11-08,197.95,212.05084617327608,2,SE CON MEN JAN/22,SE,2022-02-01,87,41,45
361,2021-11-10,125.1,192.7074340527578,2,SE CON MEN JAN/22,SE,2022-02-01,87,40,46
