,dt,SMA_18,SMA_40,CrossOver_x,EMA_31,EMA_75,CrossOver_y,BBands_mid_5_1.0,BBands_top_5_1.0,BBands_bot_5_1.0,MACD_macd_15_65_27,MACD_signal_15_65_27,CrossOver,SMA_30,indicator3,indicator4,RelativeStrengthIndex_5
730,2022-03-28,206.0520961677559,200.82910598264337,0.0,202.94822120019325,210.86004513821212,0.0,199.28320251177396,215.3686557507828,183.1977492727651,-6.948783063791495,-9.346264519835682,0.0,200.52426509683065,200.89694572248,-0.372680625649366,30.6026200415982
731,2022-03-31,205.6191800500572,200.74538570292307,0.0,202.90600282972665,210.63406308912045,0.0,199.2300556586271,215.30510124828092,183.15501006897324,-6.69654269495868,-9.15699867520161,0.0,201.1715913000392,199.36789444042876,1.8036968596104828,51.08318099009736
732,2022-04-01,203.6823113631885,199.99879479383216,0.0,201.48290038014144,209.83149205089,0.0,195.4001855287569,213.1949145497181,177.60545650779576,-8.55340142827535,-9.11388458613545,0.0,200.98382906227693,200.03456110709536,0.9492679551815684,41.01651937906298
733,2022-04-04,202.5767558076329,199.74052783218025,0.0,201.25063577304928,209.51399664604205,0.0,192.2637229437229,207.84522596978047,176.6822199176654,-8.426982409627897,-9.06482014495634,0.0,201.36899246096976,199.73576071378176,1.633231747188006,50.690433561543024
734,2022-04-05,202.05294628382345,199.90843673487177,0.0,201.833185322948,209.5418238019733,0.0,191.94943722943725,207.1376854104992,176.76118904837531,-7.075225249757807,-8.922706223870732,0.0,202.23675802873532,200.2058090229605,2.0309490057748576,57.08104889212528
735,2022-04-06,202.52303175390887,200.0743230224972,0.0,201.8724573941099,209.3555005035408,0.0,198.64174492174493,208.7739421757583,188.5095476677316,-6.669461703116127,-8.761760186673975,0.0,202.8902378822152,200.4449394577431,2.4452984244720994,51.76930305392328
736,2022-04-07,202.1793240980823,200.12488105821143,0.0,202.042538181978,209.2301912797634,0.0,199.10594946719948,209.4449243514855,188.76697458291343,-6.098000397766157,-8.571491630323417,0.0,203.9639978028501,200.4438405566442,3.5201572462058834,53.20053992789625
737,2022-04-08,201.5640520463696,199.92724592307636,0.0,201.6707917077665,208.8845176827853,0.0,202.29759565884564,207.4504987784788,197.14469253921249,-6.394869914201678,-8.416018650600435,0.0,203.7282620671144,200.28669769950133,3.44156436761304,46.34768525058835
738,2022-04-11,198.7319007461332,199.45527783797,-1.0,200.1301970132652,208.0460113383895,0.0,198.14851764466124,209.6815207124679,186.6155145768546,-8.428721625332741,-8.416926005938457,-1.0,203.5956379536392,200.8716636858959,2.723974267743301,34.04563673343138
739,2022-04-12,198.5791229683554,198.3182408009329,1.0,197.4345596999361,206.70269525053712,0.0,187.43423193037555,205.4893862937812,169.3790775669699,-12.018441233520775,-8.674177093622909,0.0,201.8289712869725,201.19370954127507,0.6352617456974485,25.25121639886593
740,2022-04-13,196.5257460620373,198.41713785975645,-1.0,197.15985069908223,206.343129998846,0.0,185.54976737532277,202.3889054973177,168.71062925332777,-11.605935017019789,-8.883588373865543,0.0,201.143215976515,200.52426509683065,0.6189508796843484,52.72709656510922
741,2022-04-14,196.1973510003089,198.6763698859002,0.0,196.9137489192785,205.99784295209272,0.0,183.2754618197672,198.0275045517189,168.5234190878155,-11.194637702959426,-9.04866332594368,0.0,200.55274756692896,201.1715913000392,-0.6188437331102534,52.8371361479102
742,2022-04-18,195.1664331259128,199.01713911666943,0.0,197.0691396118236,205.82421550598505,0.0,183.93654290084828,199.30924109781412,168.5638447038824,-10.218237398046796,-9.1322043310939,0.0,200.75058382423887,200.98382906227693,-0.23324523803808,57.05528656146017
743,2022-04-19,194.6201368296165,199.19101166568908,0.0,196.82523505275128,205.49112211547668,0.0,187.16562091503263,202.4420000791436,171.8892417509217,-9.941348866360698,-9.190000369327242,0.0,200.1872988000843,201.36899246096976,-1.1816936608854576,51.2716945727707
744,2022-04-20,193.23544647124197,199.0179010044205,0.0,195.6245350549368,204.75751456211464,0.0,191.28842793257652,198.54265731874668,184.03419854640643,-11.141543599351763,-9.329396314328994,0.0,198.94109996967487,202.23675802873532,-3.295658059060429,38.95576839384552
745,2022-04-22,192.9973512331467,199.32147243299192,0.0,195.58550161400325,204.5007378631116,0.0,191.68058479532164,199.07058877859663,184.29058081204664,-10.471289636410944,-9.410960123049133,0.0,198.1855444141194,202.8902378822152,-4.7046934680957975,54.29643973508843
