,dt,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value,cash,size,return
518,2021-05-20,141398.78797927225,259.9972815978399,524.0,0.1234359241429787,135845.5501603849,93.7362068965449,504.0,0.1235955375486654,3464769.982257964,135.88923470883856,12863,0.1236859847612135,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
519,2021-05-21,114791.42585302642,259.9972815978399,524.0,-0.1881724907723129,110253.73620689654,93.7362068965449,504.0,-0.1883890486164148,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
520,2021-05-25,135642.5427361433,259.9972815978399,524.0,0.181643504540258,130309.00893416928,93.7362068965449,504.0,0.1819010712674447,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
521,2021-05-26,143908.916375449,259.9972815978399,524.0,0.0609423376512907,138259.87212922666,93.7362068965449,504.0,0.0610154528845665,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
522,2021-05-27,128115.99728159784,259.9972815978399,524.0,-0.1097424641336917,123069.73620689654,93.7362068965449,504.0,-0.1098665555551247,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
523,2021-05-28,142362.24728159784,259.9972815978399,524.0,0.1111980572471904,136772.23620689654,93.7362068965449,504.0,0.1113393139720742,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
524,2021-05-31,131219.68958929015,259.9972815978399,524.0,-0.0782690488881318,126054.96697612733,93.7362068965449,504.0,-0.0783585143300363,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
525,2021-06-01,139466.39871016928,259.9972815978399,524.0,0.0628465830599875,133986.91620689657,93.7362068965449,504.0,0.0629245274584968,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
526,2021-06-02,141964.5687101693,259.9972815978399,524.0,0.0179123432102923,136389.73620689654,93.7362068965449,504.0,0.017933243543643,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
527,2021-06-07,161232.79728159783,259.9972815978399,524.0,0.1357256162329208,154922.53620689653,93.7362068965449,504.0,0.1358811924959415,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
528,2021-06-10,129887.6163292169,259.9972815978399,524.0,-0.194409459370947,124773.73620689654,93.7362068965449,504.0,-0.1946056444605112,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
529,2021-06-11,174140.6639482645,259.9972815978399,524.0,0.340702592515691,167337.73620689654,93.7362068965449,504.0,0.3411294820043016,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
530,2021-06-14,180166.6639482645,259.9972815978399,524.0,0.034604209398158,173133.73620689654,93.7362068965449,504.0,0.0346365388428215,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
531,2021-06-15,177470.24728159784,259.9972815978399,524.0,-0.0149662351934369,170540.23620689654,93.7362068965449,504.0,-0.0149797495093662,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
532,2021-06-16,125819.64434042136,259.9972815978399,524.0,-0.2910380964265,120861.0303245436,93.7362068965449,504.0,-0.291304896646695,3464769.982257964,3464769.982257964,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
533,2021-06-17,156553.07420467478,259.9972815978399,524.0,0.2442657505937637,150421.42851458886,93.7362068965449,504.0,0.2445817159647558,4311992.108954797,3493.07049325807,14445,0.2445247826075611,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
534,2021-06-18,174162.49728159784,259.9972815978399,524.0,0.1124821289290098,167358.73620689654,93.7362068965449,504.0,0.1125990349883228,4797427.445493259,3493.07049325807,14445,0.1125779742338464,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
535,2021-06-21,127591.99728159784,259.9972815978399,524.0,-0.2673968318489463,122565.73620689654,93.7362068965449,504.0,-0.2676466195623325,3513628.070493258,3493.07049325807,14445,-0.2676016239090831,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
536,2021-06-22,93007.99728159784,259.9972815978399,524.0,-0.2710514823564717,89301.73620689654,93.7362068965449,504.0,-0.2713972193978328,2559334.070493258,91.0704932580702,14459,-0.2715978984838973,114507.4175465058,114507.4175465058,0.0,0.0,1266347.1509939171,1266347.1509939171,0.0,0.0
537,2021-06-24,157540.61266621322,259.9972815978399,524.0,0.6938394253263156,151371.27466843498,93.7362068965449,504.0,0.6950541064255922,4340015.532031719,91.0704932580702,14459,0.6957596829847505,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455456,1328.1509939171374,7147.0,0.695054699472188
538,2021-06-25,128639.99728159784,259.9972815978399,524.0,-0.1834486669532516,123573.73620689654,93.7362068965449,504.0,-0.1836381342657411,3542546.070493258,91.0704932580702,14459,-0.183748066257527,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,-2.220446049250313e-16
539,2021-06-28,143925.07728159783,259.9972815978399,524.0,0.1188205870880141,138275.41620689654,93.7362068965449,504.0,0.1189709112249006,3964315.1004932574,91.0704932580702,14459,0.1190581637068937,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
540,2021-06-29,130168.33061493115,259.9972815978399,524.0,-0.0955826943191475,125043.73620689654,93.7362068965449,504.0,-0.0956907624143535,3584718.153826591,91.0704932580702,14459,-0.0957534749494144,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
541,2021-06-30,190471.99728159784,259.9972815978399,524.0,0.4632744875945227,183045.73620689652,93.7362068965449,504.0,0.4638537023880209,5248708.070493259,91.0704932580702,14459,0.4641898875342272,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
542,2021-07-01,153474.839386861,259.9972815978399,524.0,-0.1942393549852867,147460.68357531758,93.7362068965449,504.0,-0.1944052528563526,5248708.070493259,5248708.070493259,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
543,2021-07-02,172894.17909977966,259.9972815978399,524.0,0.1265310965008976,166138.82711598746,93.7362068965449,504.0,0.1266652445099358,5248708.070493259,5248708.070493259,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
544,2021-07-06,127591.99728159784,259.9972815978399,524.0,-0.2620225970247228,122565.73620689654,93.7362068965449,504.0,-0.2622691616732733,5248708.070493259,5248708.070493259,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
545,2021-07-07,95565.11728159784,259.9972815978399,524.0,-0.2510101000246597,91761.25620689656,93.7362068965449,504.0,-0.2513302734787201,3929860.710493259,5254.070493258536,21578,-0.2512708541391706,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
546,2021-07-08,94579.99728159784,259.9972815978399,524.0,-0.0103083638467914,90813.73620689654,93.7362068965449,504.0,-0.0103259266401456,3889241.4304932575,161.4304932585355,21606,-0.0103360609935975,114507.4175465058,114507.4175465058,0.0,0.0,2146527.689455455,2146527.689455455,0.0,0.0
547,2021-07-15,181039.99728159784,259.9972815978399,524.0,0.9141467803448782,173973.73620689654,93.7362068965449,504.0,0.9157205008121304,7454231.430493259,161.4304932585355,21606,0.9166286186424446,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,2187.689455455169,11913.0,0.9157324220209138
