,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
7034,SE CON MEN NOV/15,SE,2015-12-01,2015-11-17,8.0,181.53125,0,4,3,0
7035,SE CON MEN NOV/15,SE,2015-12-01,2015-11-18,1.5,181.16666666666666,0,4,2,1
7036,SE CON MEN NOV/15,SE,2015-12-01,2015-11-19,1.0,185.0,0,4,1,2
7037,SE CON MEN NOV/15,SE,2015-12-01,2015-11-24,8.5,178.1764705882353,0,4,0,3
1786,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-01,1.0,142.0,0,11,7,3
1787,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-02,1.0,135.0,0,11,6,4
1788,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-03,5.5,123.09181818181818,0,11,5,5
1789,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-07,2.5,114.6,0,11,4,6
1790,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-08,2.0,113.5,0,11,3,7
1791,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-09,0.5,114.0,0,11,2,8
3583,SE CON MEN JAN/16,SE,2016-02-01,2015-12-10,1.0,120.0,1,12,11,0
1792,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-15,7.0,106.42857142857143,0,11,1,9
1793,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-16,5.0,102.14,0,11,0,10
3584,SE CON MEN JAN/16,SE,2016-02-01,2015-12-23,5.0,95.03999999999999,1,12,10,1
3585,SE CON MEN JAN/16,SE,2016-02-01,2015-12-29,7.8999999999999995,85.25316455696203,1,12,9,2
3586,SE CON MEN JAN/16,SE,2016-02-01,2016-01-05,3.0,70.83333333333333,0,12,8,3
3587,SE CON MEN JAN/16,SE,2016-02-01,2016-01-06,4.0,67.4,0,12,7,4
3588,SE CON MEN JAN/16,SE,2016-02-01,2016-01-07,1.5,67.0,0,12,6,5
3589,SE CON MEN JAN/16,SE,2016-02-01,2016-01-08,2.0,61.5,0,12,5,6
3014,SE CON MEN FEV/16,SE,2016-03-01,2016-01-11,2.0,74.0,1,20,19,0
6367,SE CON MEN MAR/16,SE,2016-04-01,2016-01-11,1.0,79.0,2,26,25,0
3590,SE CON MEN JAN/16,SE,2016-02-01,2016-01-12,5.0,58.7,0,12,4,7
3015,SE CON MEN FEV/16,SE,2016-03-01,2016-01-13,1.0,62.0,1,20,18,1
6368,SE CON MEN MAR/16,SE,2016-04-01,2016-01-13,7.0,72.71428571428571,2,26,24,1
3591,SE CON MEN JAN/16,SE,2016-02-01,2016-01-13,3.0,53.666666666666664,0,12,3,8
3592,SE CON MEN JAN/16,SE,2016-02-01,2016-01-14,10.4,47.74038461538461,0,12,2,9
3016,SE CON MEN FEV/16,SE,2016-03-01,2016-01-14,3.0,53.0,1,20,17,2
3017,SE CON MEN FEV/16,SE,2016-03-01,2016-01-15,1.0,52.0,1,20,16,3
3593,SE CON MEN JAN/16,SE,2016-02-01,2016-01-15,4.0,45.0,0,12,1,10
3018,SE CON MEN FEV/16,SE,2016-03-01,2016-01-19,6.0,47.166666666666664,1,20,15,4
