strat_id,strat_name,dt,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
0,period5_devfactor2.0,2015-05-27,366.32078338069533,368.34692380981613,364.29464295157453
0,period5_devfactor2.0,2015-05-28,365.50673482877534,367.77567137504724,363.23779828250343
0,period5_devfactor2.0,2015-05-29,364.71563070142275,367.13030655492895,362.30095484791656
0,period5_devfactor2.0,2015-05-30,363.9019468437984,366.44763319792685,361.3562604896699
0,period5_devfactor2.0,2015-05-31,362.9664058022775,365.5308572326756,360.4019543718794
0,period5_devfactor2.0,2015-06-01,362.1598413429927,364.3860034764263,359.9336792095591
0,period5_devfactor2.0,2015-06-02,362.5221758111787,365.9242996892372,359.12005193312024
0,period5_devfactor2.0,2015-06-03,363.38857159821015,368.5918220604922,358.1853211359281
0,period5_devfactor2.0,2015-06-04,364.32774720510804,369.9904909628904,358.66500344732566
0,period5_devfactor2.0,2015-06-05,365.3879850451248,370.13420041222065,360.641769678029
0,period5_devfactor2.0,2015-06-06,366.7726435768947,368.30793461047415,365.2373525433153
0,period5_devfactor2.0,2015-06-07,367.3241692692538,368.64401930099484,366.00431923751273
0,period5_devfactor2.0,2015-06-08,368.1322430146638,371.6543892881804,364.6100967411472
0,period5_devfactor2.0,2015-06-09,369.7880388025832,376.07772917192926,363.4983484332371
0,period5_devfactor2.0,2015-06-10,371.2408416639968,377.0514977666973,365.43018556129624
0,period5_devfactor2.0,2015-06-11,371.47007218170376,376.7757231309792,366.1644212324283
0,period5_devfactor2.0,2015-06-12,370.3474986232372,379.11626555756027,361.5787316889141
0,period5_devfactor2.0,2015-06-13,368.47556971727596,379.3026974814279,357.648441953124
0,period5_devfactor2.0,2015-06-14,365.2135376661032,375.8583982513931,354.5686770808133
0,period5_devfactor2.0,2015-06-15,361.7589749810731,370.194966950972,353.3229830111742
0,period5_devfactor2.0,2015-06-16,358.2317375204568,366.5771510854214,349.88632395549223
0,period5_devfactor2.0,2015-06-17,353.83207051057127,368.7642546606314,338.8998863605111
0,period5_devfactor2.0,2015-06-18,349.3358182347575,365.1867946725545,333.48484179696044
0,period5_devfactor2.0,2015-06-19,345.79097831662966,359.31122497046,332.27073166279934
0,period5_devfactor2.0,2015-06-20,342.47496506598753,351.3045028683314,333.6454272636437
0,period5_devfactor2.0,2015-06-21,339.989839711618,341.6308639944245,338.3488154288115
0,period5_devfactor2.0,2015-06-22,340.93038894040853,345.6223591923565,336.23841868846057
0,period5_devfactor2.0,2015-06-23,342.03889697282824,347.4699207986178,336.6078731470387
0,period5_devfactor2.0,2015-06-24,342.84167861023843,348.6619377137075,337.02141950676935
0,period5_devfactor2.0,2015-06-25,343.2463674542494,348.4069484841226,338.08578642437624
0,period5_devfactor2.0,2015-06-26,344.22130466017,346.9051693346345,341.53743998570553
0,period5_devfactor2.0,2015-06-27,343.6233335121923,346.34076071107035,340.90590631331423
0,period5_devfactor2.0,2015-06-28,342.9113069260979,345.5735000072134,340.2491138449824
0,period5_devfactor2.0,2015-06-29,342.13229555310875,343.8571730101631,340.4074180960544
