,dt,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type,price,size,order_value,portfolio_value,pnl
96,2020-01-31,,,,,,,,,,,,,buy,188.11764705882356,2464.0,463521.8823529412,508206.5512273673,0.0,sell,188.11764705882356,-483.0,114340.96153846152,91107.4175465058,-23480.13800904977,buy,188.11764705882356,830.0,156137.64705882352,171260.84674050214,0.0
97,2020-02-14,,,,,,,,,,,,,buy,191.58333333333331,3.0,574.75,503315.8012273673,0.0,,,,,,,buy,191.58333333333331,893.0,171083.9166666667,182348.93007383545,0.0
98,2020-02-17,,,,,,,,,,,,,sell,204.0,-2467.0,464096.6323529412,503315.8012273673,39171.36764705879,,,,,,,sell,204.0,-893.0,171083.9166666667,182348.93007383545,11088.083333333325
99,2020-02-27,,,,,,,,,,,,,buy,194.5,2585.0,502782.5,493837.467894034,0.0,,,,,,,,,,,,
100,2020-02-28,,,,,,,,,,,,,buy,190.83333333333331,2.0,381.6666666666667,504616.6345607006,0.0,,,,,,,buy,190.83333333333331,954.0,182055.0,186323.93007383545,0.0
101,2020-03-16,,,,,,,,,,,,,sell,188.875,-2587.0,503164.1666666667,488771.2595607006,-14544.5416666667,,,,,,,,,,,,
102,2020-03-17,,,,,,,,,,,,,buy,182.98507462686567,2668.0,488204.1791044776,488811.0804562231,0.0,,,,,,,buy,182.98507462686567,1042.0,190670.447761194,190876.92049945463,0.0
103,2020-03-18,,,,,,,,,,,,,buy,183.0,3.0,549.0,483946.0447419373,0.0,,,,,,,buy,183.0,1.0,183.0,188977.17049945463,0.0
104,2020-06-03,,,,,,,,,,,,,sell,148.6,-2671.0,488753.1791044776,396928.680456223,-91842.5791044776,,,,,,,,,,,,
105,2020-06-23,,,,,,,,,,,,,buy,149.66666666666666,2649.0,396467.0,394279.680456223,0.0,,,,,,,,,,,,
106,2020-06-24,,,,,,,,,,,,,buy,148.66666666666666,3.0,446.0,389776.805456223,0.0,,,,,,,,,,,,
107,2020-07-02,,,,,,,,,,,,,sell,153.0,-2652.0,396913.0,405771.680456223,8843.0,,,,,,,,,,,,
108,2020-07-06,,,,,,,,,,,,,buy,144.95,2796.0,405280.2,403115.4804562231,0.0,,,,,,,buy,144.95,1983.0,287435.85,285869.799306926,0.0
109,2020-07-07,,,,,,,,,,,,,buy,144.0,3.0,432.0,432971.4804562231,0.0,,,,,,,buy,144.0,2.0,288.0,307043.1326402593,0.0
110,2020-07-08,,,,,,,,,,,,,sell,154.66666666666666,-2799.0,405712.1999999999,432971.480456223,27199.80000000005,,,,,,,sell,154.66666666666666,-1985.0,287723.85,307043.1326402593,19289.483333333326
111,2020-07-17,,,,,,,,,,,,,buy,143.5,3014.0,432509.0,443376.9566466992,0.0,,,,,,,,,,,,
112,2020-07-22,,,,,,,,,,,,,sell,149.24161073825502,-3017.0,432935.0,450298.4200535384,17326.93959731538,,,,,,,,,,,,
113,2020-07-24,,,,,,,,,,,,,buy,133.57142857142858,3367.0,449735.00000000006,479398.9200535384,0.0,,,,,,,buy,133.57142857142858,2296.0,306680.0,326887.1326402593,0.0
114,2020-07-29,,,,,,,,,,,,,buy,70.28571428571429,8.0,562.2857142857143,496126.1343392526,0.0,,,,,,,buy,70.28571428571429,4646.0,326547.4285714286,683301.7040688307,0.0
115,2020-08-17,,,,,,,,,,,,,sell,148.60557768924303,-3375.0,450297.2857142858,501544.95904044784,51246.53898690943,,,,,,,,,,,,
116,2020-08-19,,,,,,,,,,,,,buy,131.59375,3807.0,500977.40625,524030.05279044784,0.0,,,,,,,,,,,,
117,2020-08-21,,,,,,,,,,,,,buy,128.0,4.0,512.0,502018.69564759074,0.0,,,,,,,,,,,,
118,2020-08-26,,,,,,,,,,,,,sell,150.0,-3811.0,501489.40625,571705.5527904478,70160.59375000004,,,,,,,,,,,,
119,2020-10-01,,,,,,,,,,,,,buy,151.8,3762.0,571071.6000000001,594626.8813618763,0.0,,,,,,,,,,,,
120,2020-10-02,,,,,,,,,,,,,sell,157.89285714285714,-3762.0,571071.6000000001,594626.8813618764,22921.328571428512,,,,,,,,,,,,
121,2020-10-13,,,,,,,,,,,,,buy,158.0,3759.0,593922.0,635975.8813618764,0.0,,,,,,,,,,,,
122,2020-10-20,,,,,,,,,,,,,buy,152.56064690026955,4.0,610.2425876010782,583359.6387742753,0.0,,,,,,,buy,152.56064690026955,4474.0,682556.334231806,694215.3698370247,0.0
