,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
9370,SE CON MEN SET/15,SE,2015-10-01,2015-07-30,14.0,161.32142857142858,2,38,36,1
1060,SE CON MEN AGO/15,SE,2015-09-01,2015-07-31,17.0,129.78235294117647,1,27,15,11
9371,SE CON MEN SET/15,SE,2015-10-01,2015-07-31,2.0,160.5,2,38,35,2
1061,SE CON MEN AGO/15,SE,2015-09-01,2015-08-03,9.5,129.28947368421052,0,27,14,12
1062,SE CON MEN AGO/15,SE,2015-09-01,2015-08-04,3.0,129.16666666666666,0,27,13,13
9372,SE CON MEN SET/15,SE,2015-10-01,2015-08-05,4.0,176.75,1,38,34,3
1063,SE CON MEN AGO/15,SE,2015-09-01,2015-08-06,16.0,130.77375,0,27,12,14
9373,SE CON MEN SET/15,SE,2015-10-01,2015-08-06,6.0,179.39166666666665,1,38,33,4
1064,SE CON MEN AGO/15,SE,2015-09-01,2015-08-07,21.5,127.49581395348837,0,27,11,15
9374,SE CON MEN SET/15,SE,2015-10-01,2015-08-07,6.0,180.16666666666666,1,38,32,5
9375,SE CON MEN SET/15,SE,2015-10-01,2015-08-10,8.0,186.9375,1,38,31,6
1065,SE CON MEN AGO/15,SE,2015-09-01,2015-08-10,1.0,128.0,0,27,10,16
9376,SE CON MEN SET/15,SE,2015-10-01,2015-08-11,4.5,191.22222222222223,1,38,30,7
9377,SE CON MEN SET/15,SE,2015-10-01,2015-08-12,5.5,199.1818181818182,1,38,29,8
1066,SE CON MEN AGO/15,SE,2015-09-01,2015-08-13,2.0,133.5,0,27,9,17
9378,SE CON MEN SET/15,SE,2015-10-01,2015-08-13,8.0,201.8375,1,38,28,9
1067,SE CON MEN AGO/15,SE,2015-09-01,2015-08-14,8.0,131.4375,0,27,8,18
9379,SE CON MEN SET/15,SE,2015-10-01,2015-08-14,3.0,199.16666666666666,1,38,27,10
1068,SE CON MEN AGO/15,SE,2015-09-01,2015-08-17,1.0,132.0,0,27,7,19
9380,SE CON MEN SET/15,SE,2015-10-01,2015-08-17,8.0,203.96875,1,38,26,11
9381,SE CON MEN SET/15,SE,2015-10-01,2015-08-18,10.5,194.8095238095238,1,38,25,12
9382,SE CON MEN SET/15,SE,2015-10-01,2015-08-19,20.0,195.59,1,38,24,13
9383,SE CON MEN SET/15,SE,2015-10-01,2015-08-20,4.0,200.0,1,38,23,14
1069,SE CON MEN AGO/15,SE,2015-09-01,2015-08-20,1.0,133.5,0,27,6,20
9384,SE CON MEN SET/15,SE,2015-10-01,2015-08-21,10.0,198.9,1,38,22,15
1070,SE CON MEN AGO/15,SE,2015-09-01,2015-08-21,1.0,133.0,0,27,5,21
1071,SE CON MEN AGO/15,SE,2015-09-01,2015-08-24,8.0,133.0625,0,27,4,22
9385,SE CON MEN SET/15,SE,2015-10-01,2015-08-24,15.0,202.83333333333334,1,38,21,16
1072,SE CON MEN AGO/15,SE,2015-09-01,2015-08-25,3.0,134.0,0,27,3,23
9386,SE CON MEN SET/15,SE,2015-10-01,2015-08-25,36.2,208.11464088397787,1,38,20,17
1073,SE CON MEN AGO/15,SE,2015-09-01,2015-08-26,12.0,134.5,0,27,2,24
8342,SE CON MEN OUT/15,SE,2015-11-01,2015-08-26,3.5,213.07142857142858,2,16,15,0
9387,SE CON MEN SET/15,SE,2015-10-01,2015-08-26,13.5,219.06666666666663,1,38,19,18
9388,SE CON MEN SET/15,SE,2015-10-01,2015-08-27,24.6,232.08130081300817,1,38,18,19
1074,SE CON MEN AGO/15,SE,2015-09-01,2015-08-27,7.4,135.7162162162162,0,27,1,25
8343,SE CON MEN OUT/15,SE,2015-11-01,2015-08-27,6.0,222.33333333333334,2,16,14,1
9389,SE CON MEN SET/15,SE,2015-10-01,2015-08-28,27.5,243.73712727272726,1,38,17,20
9390,SE CON MEN SET/15,SE,2015-10-01,2015-08-31,10.8,253.42592592592595,1,38,16,21
8344,SE CON MEN OUT/15,SE,2015-11-01,2015-08-31,1.7,230.14705882352942,2,16,13,2
1075,SE CON MEN AGO/15,SE,2015-09-01,2015-08-31,8.0,137.79999999999998,0,27,0,26
9391,SE CON MEN SET/15,SE,2015-10-01,2015-09-01,13.0,250.26923076923077,0,38,15,22
8345,SE CON MEN OUT/15,SE,2015-11-01,2015-09-01,3.0,235.33333333333334,1,16,12,3
9392,SE CON MEN SET/15,SE,2015-10-01,2015-09-02,7.5,238.2,0,38,14,23
9393,SE CON MEN SET/15,SE,2015-10-01,2015-09-03,2.2,227.57272727272724,0,38,13,24
9394,SE CON MEN SET/15,SE,2015-10-01,2015-09-08,1.0,220.0,0,38,12,25
9395,SE CON MEN SET/15,SE,2015-10-01,2015-09-09,6.5,207.84615384615384,0,38,11,26
9396,SE CON MEN SET/15,SE,2015-10-01,2015-09-10,10.1,207.97029702970298,0,38,10,27
8346,SE CON MEN OUT/15,SE,2015-11-01,2015-09-11,2.0,170.5,1,16,11,4
9397,SE CON MEN SET/15,SE,2015-10-01,2015-09-11,2.0,204.5,0,38,9,28
9398,SE CON MEN SET/15,SE,2015-10-01,2015-09-14,5.5,199.13636363636363,0,38,8,29
9399,SE CON MEN SET/15,SE,2015-10-01,2015-09-15,1.0,199.0,0,38,7,30
9400,SE CON MEN SET/15,SE,2015-10-01,2015-09-16,5.5,198.6727272727273,0,38,6,31
9401,SE CON MEN SET/15,SE,2015-10-01,2015-09-17,4.6,205.12913043478264,0,38,5,32
9402,SE CON MEN SET/15,SE,2015-10-01,2015-09-18,1.5,208.0,0,38,4,33
9403,SE CON MEN SET/15,SE,2015-10-01,2015-09-22,3.0,209.33333333333334,0,38,3,34
8347,SE CON MEN OUT/15,SE,2015-11-01,2015-09-22,2.0,188.5,1,16,10,5
9404,SE CON MEN SET/15,SE,2015-10-01,2015-09-23,1.0,207.0,0,38,2,35
8348,SE CON MEN OUT/15,SE,2015-11-01,2015-09-23,3.0,183.33333333333334,1,16,9,6
9405,SE CON MEN SET/15,SE,2015-10-01,2015-09-24,8.0,207.1875,0,38,1,36
8349,SE CON MEN OUT/15,SE,2015-11-01,2015-09-24,9.5,179.76315789473685,1,16,8,7
9406,SE CON MEN SET/15,SE,2015-10-01,2015-09-25,13.9,211.93884892086328,0,38,0,37
8350,SE CON MEN OUT/15,SE,2015-11-01,2015-09-30,4.0,163.0,1,16,7,8
8351,SE CON MEN OUT/15,SE,2015-11-01,2015-10-01,3.0,164.0,0,16,6,9
8352,SE CON MEN OUT/15,SE,2015-11-01,2015-10-13,2.0,164.0,0,16,5,10
8353,SE CON MEN OUT/15,SE,2015-11-01,2015-10-15,1.0,170.0,0,16,4,11
8354,SE CON MEN OUT/15,SE,2015-11-01,2015-10-16,2.0,168.0,0,16,3,12
8355,SE CON MEN OUT/15,SE,2015-11-01,2015-10-21,1.0,172.5,0,16,2,13
8356,SE CON MEN OUT/15,SE,2015-11-01,2015-10-27,1.0,173.0,0,16,1,14
8357,SE CON MEN OUT/15,SE,2015-11-01,2015-10-29,1.0,180.0,0,16,0,15
1835,SE CON MEN DEZ/15,SE,2016-01-01,2015-10-30,1.0,175.0,2,11,10,0
1836,SE CON MEN DEZ/15,SE,2016-01-01,2015-11-16,1.0,165.0,1,11,9,1
7275,SE CON MEN NOV/15,SE,2015-12-01,2015-11-17,8.0,181.53125,0,4,3,0
1837,SE CON MEN DEZ/15,SE,2016-01-01,2015-11-17,3.5,161.0,1,11,8,2
7276,SE CON MEN NOV/15,SE,2015-12-01,2015-11-18,1.5,181.16666666666666,0,4,2,1
7277,SE CON MEN NOV/15,SE,2015-12-01,2015-11-19,1.0,185.0,0,4,1,2
7278,SE CON MEN NOV/15,SE,2015-12-01,2015-11-24,8.5,178.1764705882353,0,4,0,3
1838,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-01,1.0,142.0,0,11,7,3
1839,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-02,1.0,135.0,0,11,6,4
1840,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-03,5.5,123.09181818181818,0,11,5,5
1841,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-07,2.5,114.6,0,11,4,6
1842,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-08,2.0,113.5,0,11,3,7
1843,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-09,0.5,114.0,0,11,2,8
3745,SE CON MEN JAN/16,SE,2016-02-01,2015-12-10,1.0,120.0,1,12,11,0
1844,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-15,7.0,106.42857142857143,0,11,1,9
1845,SE CON MEN DEZ/15,SE,2016-01-01,2015-12-16,5.0,102.14,0,11,0,10
3746,SE CON MEN JAN/16,SE,2016-02-01,2015-12-23,5.0,95.03999999999999,1,12,10,1
3747,SE CON MEN JAN/16,SE,2016-02-01,2015-12-29,7.8999999999999995,85.25316455696203,1,12,9,2
3748,SE CON MEN JAN/16,SE,2016-02-01,2016-01-05,3.0,70.83333333333333,0,12,8,3
3749,SE CON MEN JAN/16,SE,2016-02-01,2016-01-06,4.0,67.4,0,12,7,4
3750,SE CON MEN JAN/16,SE,2016-02-01,2016-01-07,1.5,67.0,0,12,6,5
3751,SE CON MEN JAN/16,SE,2016-02-01,2016-01-08,2.0,61.5,0,12,5,6
6594,SE CON MEN MAR/16,SE,2016-04-01,2016-01-11,1.0,79.0,2,26,25,0
3157,SE CON MEN FEV/16,SE,2016-03-01,2016-01-11,2.0,74.0,1,20,19,0
3752,SE CON MEN JAN/16,SE,2016-02-01,2016-01-12,5.0,58.7,0,12,4,7
3753,SE CON MEN JAN/16,SE,2016-02-01,2016-01-13,3.0,53.666666666666664,0,12,3,8
6595,SE CON MEN MAR/16,SE,2016-04-01,2016-01-13,7.0,72.71428571428571,2,26,24,1
3158,SE CON MEN FEV/16,SE,2016-03-01,2016-01-13,1.0,62.0,1,20,18,1
3754,SE CON MEN JAN/16,SE,2016-02-01,2016-01-14,10.4,47.74038461538461,0,12,2,9
3159,SE CON MEN FEV/16,SE,2016-03-01,2016-01-14,3.0,53.0,1,20,17,2
3755,SE CON MEN JAN/16,SE,2016-02-01,2016-01-15,4.0,45.0,0,12,1,10
3160,SE CON MEN FEV/16,SE,2016-03-01,2016-01-15,1.0,52.0,1,20,16,3
3161,SE CON MEN FEV/16,SE,2016-03-01,2016-01-19,6.0,47.166666666666664,1,20,15,4
3162,SE CON MEN FEV/16,SE,2016-03-01,2016-01-20,4.0,45.5,1,20,14,5
6596,SE CON MEN MAR/16,SE,2016-04-01,2016-01-21,4.0,56.75,2,26,23,2
3756,SE CON MEN JAN/16,SE,2016-02-01,2016-01-21,1.0,42.0,0,12,0,11
3163,SE CON MEN FEV/16,SE,2016-03-01,2016-01-21,1.0,42.0,1,20,13,6
3164,SE CON MEN FEV/16,SE,2016-03-01,2016-01-26,8.0,41.5875,1,20,12,7
3165,SE CON MEN FEV/16,SE,2016-03-01,2016-01-27,2.0,41.75,1,20,11,8
6597,SE CON MEN MAR/16,SE,2016-04-01,2016-01-27,5.0,52.2,2,26,22,3
3166,SE CON MEN FEV/16,SE,2016-03-01,2016-01-28,1.0,40.5,1,20,10,9
6598,SE CON MEN MAR/16,SE,2016-04-01,2016-01-29,1.5,49.333333333333336,2,26,21,4
3167,SE CON MEN FEV/16,SE,2016-03-01,2016-01-29,7.5,41.06666666666667,1,20,9,10
3168,SE CON MEN FEV/16,SE,2016-03-01,2016-02-02,1.0,40.0,0,20,8,11
6599,SE CON MEN MAR/16,SE,2016-04-01,2016-02-02,2.0,47.5,1,26,20,5
417,SE CON MEN ABR/16,SE,2016-05-01,2016-02-03,1.0,47.0,2,18,17,0
6600,SE CON MEN MAR/16,SE,2016-04-01,2016-02-03,1.0,45.0,1,26,19,6
3169,SE CON MEN FEV/16,SE,2016-03-01,2016-02-04,1.0,41.0,0,20,7,12
6601,SE CON MEN MAR/16,SE,2016-04-01,2016-02-04,1.0,52.0,1,26,18,7
3170,SE CON MEN FEV/16,SE,2016-03-01,2016-02-05,2.0,44.0,0,20,6,13
3171,SE CON MEN FEV/16,SE,2016-03-01,2016-02-11,1.0,42.0,0,20,5,14
6602,SE CON MEN MAR/16,SE,2016-04-01,2016-02-12,6.0,55.75,1,26,17,8
3172,SE CON MEN FEV/16,SE,2016-03-01,2016-02-12,7.0,41.44285714285714,0,20,4,15
6603,SE CON MEN MAR/16,SE,2016-04-01,2016-02-15,2.0,55.99999999999999,1,26,16,9
3173,SE CON MEN FEV/16,SE,2016-03-01,2016-02-15,2.0,39.55,0,20,3,16
3174,SE CON MEN FEV/16,SE,2016-03-01,2016-02-16,3.0,39.083333333333336,0,20,2,17
6604,SE CON MEN MAR/16,SE,2016-04-01,2016-02-16,4.0,55.0,1,26,15,10
6605,SE CON MEN MAR/16,SE,2016-04-01,2016-02-22,2.2,52.54545454545454,1,26,14,11
3175,SE CON MEN FEV/16,SE,2016-03-01,2016-02-22,1.0,37.0,0,20,1,18
6606,SE CON MEN MAR/16,SE,2016-04-01,2016-02-23,25.2,54.30555555555555,1,26,13,12
6607,SE CON MEN MAR/16,SE,2016-04-01,2016-02-24,5.2,53.980769230769226,1,26,12,13
6608,SE CON MEN MAR/16,SE,2016-04-01,2016-02-25,1.5,55.199999999999996,1,26,11,14
6609,SE CON MEN MAR/16,SE,2016-04-01,2016-02-26,4.5,43.94444444444444,1,26,10,15
418,SE CON MEN ABR/16,SE,2016-05-01,2016-02-26,3.5,55.0,2,18,16,1
3176,SE CON MEN FEV/16,SE,2016-03-01,2016-02-29,1.0,35.0,0,20,0,19
6610,SE CON MEN MAR/16,SE,2016-04-01,2016-03-01,1.5,43.0,0,26,9,16
419,SE CON MEN ABR/16,SE,2016-05-01,2016-03-01,1.0,51.0,1,18,15,2
6611,SE CON MEN MAR/16,SE,2016-04-01,2016-03-02,20.0,41.125,0,26,8,17
420,SE CON MEN ABR/16,SE,2016-05-01,2016-03-02,4.9,47.59183673469387,1,18,14,3
6612,SE CON MEN MAR/16,SE,2016-04-01,2016-03-03,1.5,44.0,0,26,7,18
421,SE CON MEN ABR/16,SE,2016-05-01,2016-03-03,0.1,42.99999999999999,1,18,13,4
6613,SE CON MEN MAR/16,SE,2016-04-01,2016-03-07,1.5,49.666666666666664,0,26,6,19
422,SE CON MEN ABR/16,SE,2016-05-01,2016-03-08,2.0,47.0,1,18,12,5
6614,SE CON MEN MAR/16,SE,2016-04-01,2016-03-10,3.4,47.55882352941176,0,26,5,20
6615,SE CON MEN MAR/16,SE,2016-04-01,2016-03-14,2.5,47.6,0,26,4,21
6616,SE CON MEN MAR/16,SE,2016-04-01,2016-03-15,5.0,46.08,0,26,3,22
6617,SE CON MEN MAR/16,SE,2016-04-01,2016-03-16,5.0,45.56,0,26,2,23
6618,SE CON MEN MAR/16,SE,2016-04-01,2016-03-17,10.0,43.88,0,26,1,24
423,SE CON MEN ABR/16,SE,2016-05-01,2016-03-17,0.4,42.99999999999999,1,18,11,6
6619,SE CON MEN MAR/16,SE,2016-04-01,2016-03-22,3.0,41.5,0,26,0,25
424,SE CON MEN ABR/16,SE,2016-05-01,2016-03-28,1.0,48.0,1,18,10,7
425,SE CON MEN ABR/16,SE,2016-05-01,2016-03-29,1.0,52.0,1,18,9,8
426,SE CON MEN ABR/16,SE,2016-05-01,2016-03-30,1.0,53.0,1,18,8,9
427,SE CON MEN ABR/16,SE,2016-05-01,2016-03-31,5.0,54.8,1,18,7,10
428,SE CON MEN ABR/16,SE,2016-05-01,2016-04-01,1.0,52.0,0,18,6,11
429,SE CON MEN ABR/16,SE,2016-05-01,2016-04-05,2.0,54.0,0,18,5,12
430,SE CON MEN ABR/16,SE,2016-05-01,2016-04-08,1.0,58.0,0,18,4,13
5220,SE CON MEN JUN/16,SE,2016-07-01,2016-04-11,1.0,72.0,2,20,19,0
5964,SE CON MEN MAI/16,SE,2016-06-01,2016-04-12,2.0,80.5,1,13,12,0
5221,SE CON MEN JUN/16,SE,2016-07-01,2016-04-12,1.0,72.0,2,20,18,1
5222,SE CON MEN JUN/16,SE,2016-07-01,2016-04-13,14.0,78.71428571428571,2,20,17,2
5965,SE CON MEN MAI/16,SE,2016-06-01,2016-04-13,6.0,83.75,1,13,11,1
431,SE CON MEN ABR/16,SE,2016-05-01,2016-04-13,3.0,54.333333333333336,0,18,3,14
5966,SE CON MEN MAI/16,SE,2016-06-01,2016-04-15,8.0,85.875,1,13,10,2
5223,SE CON MEN JUN/16,SE,2016-07-01,2016-04-15,6.0,81.0,2,20,16,3
