,strat_id,init_cash,buy_prop,sell_prop,fractional,slippage,single_position,commission,stop_loss,stop_trail,take_profit,execution_type,channel,symbol,allow_short,short_max,add_cash_amount,add_cash_freq,invest_div,fast_period,slow_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
413,115,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,7,80,2.1719989858466175,0.0006191559252698454,0.16885810449513725,16.885810449513723,61,49.3703704077897,855753.7476593757,"AutoOrderedDict([('len', 1047), ('drawdown', 74.77540764929924), ('moneydown', 855753.7476593757)])",74.77540764929924,1047,0.4787900677129863,777580.92,877580.9237052817,26,0.38461538461538464,10,16,110538.99259358636,110.53899259358634,-20488.06263941137,-20.48806263941137,642740.2161260387,642.7402161260387,-76465.38369603164,-76.46538369603164
414,178,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,11,86,2.1685084933740724,0.0006181609160131335,0.1685650590284182,16.85650590284182,61,50.956891090182616,908649.1053135851,"AutoOrderedDict([('len', 1052), ('drawdown', 75.5120581869127), ('moneydown', 908649.1053135851)])",75.5120581869127,1052,0.5181740882740546,774523.07,874523.0739025169,23,0.391304347826087,9,14,127652.9521793639,127.6529521793639,-26739.535407982738,-26.73953540798274,627236.4218115018,627.2364218115018,-107387.36294522819,-107.38736294522819
415,459,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,31,48,2.1335033807458865,0.000608182263610572,0.16563025299394019,16.56302529939402,61,60.207391738648,1277662.5119437068,"AutoOrderedDict([('len', 1117), ('drawdown', 70.59534602386623), ('moneydown', 1277662.5119437068)])",70.59534602386623,1117,0.4592932657552329,744439.9,844439.8994842187,31,0.4838709677419355,15,16,136948.8901772918,136.9488901772918,-81862.09082344739,-81.86209082344739,701154.7200214406,701.1547200214407,-574121.4859582634,-574.1214859582634
416,490,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,33,50,2.129795985035565,0.0006071254233282683,0.1653198593069601,16.53198593069601,61,61.80642575096922,1361450.8594971122,"AutoOrderedDict([('len', 1118), ('drawdown', 68.46376126705094), ('moneydown', 1361450.8594971122)])",68.46376126705094,1118,0.4875180498833582,741315.02,841315.02277972,31,0.5161290322580645,16,15,130111.58955799231,130.11158955799232,-89364.69400987712,-89.36469400987711,738485.9726175274,738.4859726175273,-596481.3686408928,-596.4813686408928
417,239,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,15,88,2.119772828010122,0.0006042681949857817,0.16448110590107812,16.448110590107813,61,55.600473811469776,1043051.6131463193,"AutoOrderedDict([('len', 832), ('drawdown', 78.25003257446339), ('moneydown', 1043051.6131463193)])",78.25003257446339,832,0.5675746165879554,732924.51,832924.5101563367,19,0.42105263157894735,8,11,144566.05596843187,144.56605596843187,-38509.448871919834,-38.50944887191983,560413.8607463754,560.4138607463753,-121783.60382928008,-121.78360382928008
418,118,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,7,86,2.1064370507589167,0.0006004666621319603,0.16336608315280213,16.336608315280213,61,49.89868102832017,818566.3630044758,"AutoOrderedDict([('len', 1046), ('drawdown', 77.65603334677242), ('moneydown', 818566.3630044758)])",77.65603334677242,1046,0.4613676913482855,721890.55,821890.551157034,24,0.375,9,15,114277.96859683766,114.27796859683765,-20440.74441430033,-20.44074441430033,609886.9460176658,609.8869460176659,-77687.95558498864,-77.68795558498864
419,489,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,33,48,2.082507730988239,0.0005936453052988139,0.1613679957173515,16.13679957173515,61,61.80505973905148,1298493.594318055,"AutoOrderedDict([('len', 1117), ('drawdown', 69.72012714205476), ('moneydown', 1298493.594318055)])",69.72012714205476,1117,0.4667961804948463,702456.72,802456.715899998,33,0.48484848484848486,16,17,122175.35328364327,122.17535328364326,-73667.58450813495,-73.66758450813495,679746.6171231807,679.7466171231806,-565429.6430109366,-565.4296430109365
420,385,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,25,80,2.074493310752835,0.0005913606929169997,0.16069956267460528,16.069956267460526,61,60.22143392998269,1205155.164390901,"AutoOrderedDict([('len', 969), ('drawdown', 74.64451534852056), ('moneydown', 1205155.164390901)])",74.64451534852056,969,0.5835169595299861,696051.19,796051.1931197684,20,0.5,10,10,152206.16588939595,152.20616588939595,-82601.04657741914,-82.60104657741914,538202.3249094748,538.2023249094749,-355299.58563441964,-355.29958563441966
421,269,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,17,88,2.0743876951386317,0.0005913305858433955,0.1606907565006857,16.06907565006857,61,55.600027781634104,996752.7431254054,"AutoOrderedDict([('len', 844), ('drawdown', 79.25737353260445), ('moneydown', 996752.7431254054)])",79.25737353260445,844,0.5404196746828571,695967.12,795967.122123753,19,0.42105263157894735,8,11,139410.9997003948,139.41099970039483,-38120.079589036846,-38.12007958903685,535538.2667013708,535.5382667013708,-92769.97832643508,-92.7699783264351
422,119,100000,1,1,False,0.001,,0,0,0,0,close,,,False,1.5,0,M,True,7,88,2.058107632922234,0.0005866897471272047,0.15933413212827297,15.933413212827297,61,49.89807172806987,779927.2782975072,"AutoOrderedDict([('len', 1042), ('drawdown', 78.2931510479584), ('moneydown', 779927.2782975072)])",78.2931510479584,1042,0.4553950937952137,683113.64,783113.6394916337,24,0.4166666666666667,10,14,96347.59219341117,96.34759219341117,-20025.87731731986,-20.02587731731986,581098.2314626774,581.0982314626774,-82348.58972169469,-82.3485897216947
