id_subsistema,idhistorico_carga,subsistema,data,valor
2,193326.0,Sul,17/03/2000,7564.26
1,193327.0,Sudeste,17/03/2000,27362.46
5,193328.0,SIN,18/03/2000,39621.91
1,193329.0,Sudeste,18/03/2000,24974.38
4,193330.0,Norte,18/03/2000,2353.25
2,193331.0,Sul,18/03/2000,6542.55
3,193332.0,Nordeste,18/03/2000,5751.73
4,193333.0,Norte,19/03/2000,2232.45
3,193334.0,Nordeste,19/03/2000,4485.21
2,193335.0,Sul,19/03/2000,5408.8
1,193336.0,Sudeste,19/03/2000,21824.46
5,193337.0,SIN,19/03/2000,33950.92
3,193338.0,Nordeste,20/03/2000,6095.43
4,193339.0,Norte,20/03/2000,2426.96
5,193340.0,SIN,20/03/2000,41402.93
1,193341.0,Sudeste,20/03/2000,25821.8
2,193342.0,Sul,20/03/2000,7058.74
2,193343.0,Sul,21/03/2000,7358.02
3,193344.0,Nordeste,21/03/2000,6106.96
4,193345.0,Norte,21/03/2000,2452.73
1,193346.0,Sudeste,21/03/2000,26486.73
5,193347.0,SIN,21/03/2000,42404.44
5,193348.0,SIN,22/03/2000,42920.03
4,193349.0,Norte,22/03/2000,2458.49
3,193350.0,Nordeste,22/03/2000,6188.19
2,193351.0,Sul,22/03/2000,7396.52
1,193352.0,Sudeste,22/03/2000,26876.83
5,193353.0,SIN,23/03/2000,42998.75
1,193354.0,Sudeste,23/03/2000,26948.59
4,193355.0,Norte,23/03/2000,2450.17
3,193356.0,Nordeste,23/03/2000,6109.34
2,193357.0,Sul,23/03/2000,7490.65
5,193358.0,SIN,24/03/2000,43312.369999999995
4,193359.0,Norte,24/03/2000,2467.15
3,193360.0,Nordeste,24/03/2000,6209.54
2,193361.0,Sul,24/03/2000,7372.34
1,193362.0,Sudeste,24/03/2000,27263.34
1,193363.0,Sudeste,25/03/2000,24957.34
5,193364.0,SIN,25/03/2000,39590.880000000005
4,193365.0,Norte,25/03/2000,2419.57
3,193366.0,Nordeste,25/03/2000,5804.75
2,193367.0,Sul,25/03/2000,6409.22
1,193368.0,Sudeste,26/03/2000,22276.77
2,193369.0,Sul,26/03/2000,5376.04
3,193370.0,Nordeste,26/03/2000,5394.29
4,193371.0,Norte,26/03/2000,2321.25
5,193372.0,SIN,26/03/2000,35368.35
1,193373.0,Sudeste,27/03/2000,26927.09
3,193374.0,Nordeste,27/03/2000,6087.31
4,193375.0,Norte,27/03/2000,2464.95
2,193376.0,Sul,27/03/2000,7080.49
5,193377.0,SIN,27/03/2000,42559.84
5,193378.0,SIN,28/03/2000,43247.3
2,193379.0,Sul,28/03/2000,7043.06
3,193380.0,Nordeste,28/03/2000,6145.87
4,193381.0,Norte,28/03/2000,2444.37
1,193382.0,Sudeste,28/03/2000,27614.0
2,193383.0,Sul,29/03/2000,6950.34
5,193384.0,SIN,29/03/2000,42770.44
4,193385.0,Norte,29/03/2000,2436.8
3,193386.0,Nordeste,29/03/2000,6125.65
1,193387.0,Sudeste,29/03/2000,27257.65
1,193388.0,Sudeste,30/03/2000,26955.46
5,193389.0,SIN,30/03/2000,42542.08
2,193390.0,Sul,30/03/2000,7101.58
4,193391.0,Norte,30/03/2000,2445.18
3,193392.0,Nordeste,30/03/2000,6039.86
3,193393.0,Nordeste,31/03/2000,5983.79
4,193394.0,Norte,31/03/2000,2433.07
1,193395.0,Sudeste,31/03/2000,27245.7
2,193396.0,Sul,31/03/2000,7143.63
5,193397.0,SIN,31/03/2000,42806.19
1,193398.0,Sudeste,01/04/2000,24765.47
3,193399.0,Nordeste,01/04/2000,5642.79
4,193400.0,Norte,01/04/2000,2369.14
2,193401.0,Sul,01/04/2000,6325.97
5,193402.0,SIN,01/04/2000,39103.37
5,193403.0,SIN,02/04/2000,34607.39
4,193404.0,Norte,02/04/2000,2305.74
3,193405.0,Nordeste,02/04/2000,5162.8
2,193406.0,Sul,02/04/2000,5212.1
1,193407.0,Sudeste,02/04/2000,21926.75
2,193408.0,Sul,03/04/2000,6825.78
3,193409.0,Nordeste,03/04/2000,5837.18
4,193410.0,Norte,03/04/2000,2434.67
5,193411.0,SIN,03/04/2000,40963.54
1,193412.0,Sudeste,03/04/2000,25865.91
4,193413.0,Norte,04/04/2000,2443.98
3,193414.0,Nordeste,04/04/2000,5995.75
2,193415.0,Sul,04/04/2000,7058.25
1,193416.0,Sudeste,04/04/2000,26119.28
5,193417.0,SIN,04/04/2000,41617.259999999995
5,193418.0,SIN,05/04/2000,42150.270000000004
4,193419.0,Norte,05/04/2000,2465.04
3,193420.0,Nordeste,05/04/2000,6050.71
2,193421.0,Sul,05/04/2000,7241.3
1,193422.0,Sudeste,05/04/2000,26393.22
1,193423.0,Sudeste,06/04/2000,26602.06
5,193424.0,SIN,06/04/2000,42519.08
3,193425.0,Nordeste,06/04/2000,6106.5
4,193426.0,Norte,06/04/2000,2456.62
2,193427.0,Sul,06/04/2000,7353.9
4,193428.0,Norte,07/04/2000,2443.78
3,193429.0,Nordeste,07/04/2000,6065.72
2,193430.0,Sul,07/04/2000,7464.48
1,193431.0,Sudeste,07/04/2000,26956.08
5,193432.0,SIN,07/04/2000,42930.06
4,193433.0,Norte,08/04/2000,2396.61
3,193434.0,Nordeste,08/04/2000,5685.75
2,193435.0,Sul,08/04/2000,6758.08
1,193436.0,Sudeste,08/04/2000,24775.4
5,193437.0,SIN,08/04/2000,39615.840000000004
5,193438.0,SIN,09/04/2000,35525.87
3,193439.0,Nordeste,09/04/2000,5181.06
4,193440.0,Norte,09/04/2000,2294.73
2,193441.0,Sul,09/04/2000,5727.97
1,193442.0,Sudeste,09/04/2000,22322.11
2,193443.0,Sul,10/04/2000,7432.97
1,193444.0,Sudeste,10/04/2000,26820.4
4,193445.0,Norte,10/04/2000,2451.94
5,193446.0,SIN,10/04/2000,42594.15
3,193447.0,Nordeste,10/04/2000,5888.84
5,193448.0,SIN,11/04/2000,43552.05
2,193449.0,Sul,11/04/2000,7535.64
1,193450.0,Sudeste,11/04/2000,27512.63
3,193451.0,Nordeste,11/04/2000,6042.89
4,193452.0,Norte,11/04/2000,2460.89
2,193453.0,Sul,12/04/2000,7345.09
3,193454.0,Nordeste,12/04/2000,6074.3
4,193455.0,Norte,12/04/2000,2459.05
5,193456.0,SIN,12/04/2000,43484.61
1,193457.0,Sudeste,12/04/2000,27606.17
4,193458.0,Norte,13/04/2000,2471.62
2,193459.0,Sul,13/04/2000,7236.44
1,193460.0,Sudeste,13/04/2000,27753.05
5,193461.0,SIN,13/04/2000,43493.79
3,193462.0,Nordeste,13/04/2000,6032.68
5,193463.0,SIN,14/04/2000,43665.5
3,193464.0,Nordeste,14/04/2000,6042.99
4,193465.0,Norte,14/04/2000,2484.55
1,193466.0,Sudeste,14/04/2000,27872.57
2,193467.0,Sul,14/04/2000,7265.39
1,193468.0,Sudeste,15/04/2000,25296.23
2,193469.0,Sul,15/04/2000,6530.72
3,193470.0,Nordeste,15/04/2000,5719.2
4,193471.0,Norte,15/04/2000,2389.49
5,193472.0,SIN,15/04/2000,39935.64
5,193473.0,SIN,16/04/2000,35330.09
1,193474.0,Sudeste,16/04/2000,22205.84
4,193475.0,Norte,16/04/2000,2332.1
3,193476.0,Nordeste,16/04/2000,5273.79
2,193477.0,Sul,16/04/2000,5518.36
4,193478.0,Norte,17/04/2000,2472.69
1,193479.0,Sudeste,17/04/2000,26388.6
5,193480.0,SIN,17/04/2000,41891.27
3,193481.0,Nordeste,17/04/2000,5913.91
2,193482.0,Sul,17/04/2000,7116.07
1,193483.0,Sudeste,18/04/2000,27175.52
5,193484.0,SIN,18/04/2000,42836.100000000006
3,193485.0,Nordeste,18/04/2000,6054.02
2,193486.0,Sul,18/04/2000,7169.7
4,193487.0,Norte,18/04/2000,2436.86
4,193488.0,Norte,19/04/2000,2471.36
3,193489.0,Nordeste,19/04/2000,6040.56
2,193490.0,Sul,19/04/2000,7086.29
1,193491.0,Sudeste,19/04/2000,27274.26
5,193492.0,SIN,19/04/2000,42872.47
4,193493.0,Norte,20/04/2000,2442.71
3,193494.0,Nordeste,20/04/2000,5765.42
2,193495.0,Sul,20/04/2000,6825.31
1,193496.0,Sudeste,20/04/2000,26322.39
5,193497.0,SIN,20/04/2000,41355.83
5,193498.0,SIN,21/04/2000,33025.34
2,193499.0,Sul,21/04/2000,5016.92
1,193500.0,Sudeste,21/04/2000,20750.41
3,193501.0,Nordeste,21/04/2000,4969.5
4,193502.0,Norte,21/04/2000,2288.51
2,193503.0,Sul,22/04/2000,5473.56
1,193504.0,Sudeste,22/04/2000,22211.12
5,193505.0,SIN,22/04/2000,35425.94
4,193506.0,Norte,22/04/2000,2352.71
3,193507.0,Nordeste,22/04/2000,5388.55
5,193508.0,SIN,23/04/2000,33129.18
4,193509.0,Norte,23/04/2000,2307.3
1,193510.0,Sudeste,23/04/2000,20683.61
2,193511.0,Sul,23/04/2000,4898.14
3,193512.0,Nordeste,23/04/2000,5240.13
2,193513.0,Sul,24/04/2000,6705.78
3,193514.0,Nordeste,24/04/2000,5967.62
4,193515.0,Norte,24/04/2000,2491.06
5,193516.0,SIN,24/04/2000,40648.68
1,193517.0,Sudeste,24/04/2000,25484.22
4,193518.0,Norte,25/04/2000,2462.72
3,193519.0,Nordeste,25/04/2000,5991.15
2,193520.0,Sul,25/04/2000,7118.35
1,193521.0,Sudeste,25/04/2000,26436.2
5,193522.0,SIN,25/04/2000,42008.42
5,193523.0,SIN,26/04/2000,42287.880000000005
