dt,SMA_1,SMA_46,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
2023-05-22,70.52903225806452,69.56643758765779,0.0,,,0.0,70.43483870967742,70.56804850330943,70.30162891604542
2023-05-23,70.57612903225807,69.5911360448808,0.0,,,0.0,70.48193548387097,70.61514527748932,70.34872569025262
2023-05-24,70.62322580645161,69.61707573632539,0.0,,,0.0,70.52903225806452,70.66224205166921,70.39582246445983
2023-05-25,70.67032258064516,69.64425666199159,0.0,,,0.0,70.57612903225807,70.70933882587642,70.44291923863972
2023-05-26,70.71741935483871,69.67267882187939,0.0,,,0.0,70.62322580645161,70.75643560006996,70.49001601283327
2023-05-27,70.76451612903226,69.70234221598878,0.0,,,0.0,70.67032258064516,70.80353237426351,70.53711278702681
2023-05-28,70.81161290322581,69.73324684431978,0.0,,,0.0,70.71741935483871,70.85062914847072,70.5842095612067
2023-05-29,70.85870967741936,69.76539270687238,0.0,,,0.0,70.76451612903226,70.89772592263695,70.63130633542757
2023-05-30,70.9058064516129,69.79877980364657,0.0,,,0.0,70.81161290322581,70.94482269684416,70.67840310960746
2023-05-31,70.95290322580645,69.83340813464235,0.0,,,0.0,70.85870967741936,70.9919194710377,70.725499883801
2023-06-01,71.0,69.86927769985975,0.0,,,0.0,70.9058064516129,71.03901624523125,70.77259665799455
2023-06-02,71.08083333333335,69.9071219027583,0.0,,,0.0,70.95965053763442,71.11313569825462,70.80616537701421
2023-06-03,71.16166666666666,69.946940743338,0.0,,,0.0,71.02024193548388,71.20291539238491,70.83756847858285
2023-06-04,71.24249999999999,69.98873422159888,0.0,,,0.0,71.0875806451613,71.29799480435835,70.87716648596424
2023-06-05,71.32333333333334,70.0325023375409,0.0,,,0.0,71.16166666666666,71.39029785926022,70.93303547407311
2023-06-06,71.40416666666667,70.07824509116409,0.0,,,0.0,71.24249999999999,71.47113119259355,71.01386880740644
2023-06-07,71.485,70.12596248246845,0.0,,,0.0,71.32333333333334,71.55196452591098,71.0947021407557
2023-06-08,71.56583333333333,70.17565451145396,0.0,,,0.0,71.40416666666667,71.6327978592443,71.17553547408903
2023-06-09,71.64666666666666,70.22732117812062,0.0,,,0.0,71.485,71.7136311925856,71.2563688074144
2023-06-10,71.72749999999999,70.28096248246845,0.0,,,0.0,71.56583333333333,71.79446452591893,71.33720214074773
2023-06-11,71.80833333333334,70.33657842449743,0.0,,,0.0,71.64666666666668,71.87529785923635,71.418035474097
2023-06-12,71.88916666666665,70.39416900420758,0.0,,,0.0,71.72749999999999,71.95613119258559,71.4988688074144
2023-06-13,71.97,70.45373422159888,0.0,,,0.0,71.80833333333332,72.03696452591892,71.57970214074773
2023-06-14,72.05083333333333,70.51527407667135,0.0,,,0.0,71.88916666666667,72.1177978592443,71.66053547408903
2023-06-15,72.13166666666666,70.57878856942497,0.0,,,0.0,71.97,72.1986311925856,71.7413688074144
2023-06-16,72.2125,70.64427769985974,0.0,,,0.0,72.05083333333333,72.27946452591893,71.82220214074773
2023-06-17,72.29333333333332,70.71152407667135,0.0,,,0.0,72.13166666666666,72.36029785925226,71.90303547408107
2023-06-18,72.37416666666667,70.78052769985975,0.0,,,0.0,72.2125,72.44113119256969,71.98386880743033
2023-06-19,72.455,70.85128856942497,0.0,,,0.0,72.29333333333332,72.52196452592688,72.06470214073977
2023-06-20,72.53583333333333,70.923806685367,0.0,,,0.0,72.37416666666667,72.60279785925226,72.14553547408107
2023-06-21,72.61666666666666,70.99808204768583,0.0,,,0.0,72.455,72.68363119257764,72.22636880742236
2023-06-22,72.69749999999999,71.07411465638148,0.0,,,0.0,72.53583333333333,72.76446452591892,72.30720214074773
2023-06-23,72.77833333333334,71.15190451145395,0.0,,,0.0,72.61666666666666,72.84529785925226,72.38803547408106
2023-06-24,72.85916666666667,71.22596774193548,0.0,,,0.0,72.69749999999999,72.92613119259354,72.46886880740644
2023-06-25,72.94,71.29066619915848,0.0,,,0.0,72.77833333333334,73.00696452591097,72.5497021407557
2023-06-26,73.0375,71.35646037868162,0.0,,,0.0,72.8625,73.10074590470975,72.62425409529024
2023-06-27,73.115,71.42291549789621,0.0,,,0.0,72.946,73.18703342322621,72.70496657677378
2023-06-28,73.21205555555555,71.49045667757518,0.0,,,0.0,73.03274444444443,73.28201833912958,72.78347054975929
2023-06-29,73.28303703703703,71.5585170900213,0.0,,,0.0,73.11751851851851,73.36124912718552,72.8737879098515
2023-06-30,73.35401851851852,71.62709673523453,0.0,,,0.0,73.20032222222221,73.42728992186885,72.97335452257558
2023-07-01,73.425,71.6961956132149,0.0,,,0.0,73.27782222222223,73.49384203357465,73.0618024108698
2023-07-02,73.31451612903226,71.7618688249961,0.0,,,0.0,73.31772544802867,73.45972468246752,73.17572621358981
2023-07-03,73.20403225806452,71.82411637057815,0.0,,,0.0,73.31612078853047,73.46295911821593,73.169282458845
2023-07-04,73.09354838709677,71.88293824996104,0.0,,,0.0,73.27822305854241,73.51182891191694,73.04461720516788
2023-07-05,72.98306451612902,71.93833446314477,0.0,,,0.0,73.20403225806452,73.51652783555484,72.89153668057419
2023-07-06,72.87258064516129,71.99030501012935,0.0,,,0.0,73.09354838709677,73.40604396458129,72.78105280961226
2023-07-07,72.76209677419355,72.03884989091476,0.0,,,0.0,72.98306451612902,73.29556009363681,72.67056893862123
2023-07-08,72.65161290322581,72.08396910550101,0.0,,,0.0,72.87258064516129,73.18507622265162,72.56008506767097
2023-07-09,72.54112903225806,72.1256626538881,0.0,,,0.0,72.76209677419355,73.07459235167806,72.44960119670904
2023-07-10,72.43064516129033,72.16393053607604,0.0,,,0.0,72.65161290322581,72.96410848071613,72.33911732573549
2023-07-11,72.32016129032257,72.19877275206483,0.0,,,0.0,72.54112903225806,72.85362460976003,72.22863345475608
2023-07-12,72.57870967741935,72.23821174224715,0.0,,,0.0,72.50445161290322,72.73756318087122,72.27134004493523
