dt,type_sma,price_sma,portfolio_value_sma,dt_sma,type_ema,price_ema,portfolio_value_ema,dt_ema,type_bbands,price_bbands,portfolio_value_bbands,dt_bbands
2022-02-22,buy,113.54949148493507,1958740.197695091,2022-02-22,,,,,,,,
2022-03-24,sell,114.86298747713086,1844584.1026885167,2022-03-24,,,,,,,,
2022-05-01,buy,115.26143562604842,1860887.1414670392,2022-05-01,,,,,,,,
2022-05-26,sell,121.05001743994104,1937126.160147218,2022-05-26,,,,,,,,
2022-07-15,buy,107.01128446012063,1937969.799533,2022-07-15,,,,,,,,
2022-08-11,sell,103.70377751711771,1877316.5120968963,2022-08-11,,,,,,,,
2022-11-29,buy,70.25422794117645,1861823.0510906277,2022-11-29,,,,,,,,
2022-11-30,sell,69.67383981582455,1861823.0510906272,2022-11-30,,,,,,,,
2022-12-14,buy,70.0181128169743,1855798.8803829795,2022-12-14,,,,,,,,
2023-01-27,sell,69.0825,1836969.4322205216,2023-01-27,,,,,,,,
2023-02-09,buy,70.5,1836969.4322205216,2023-02-09,,,,,,,,
2023-02-19,sell,69.34105180533753,1806802.0107134576,2023-02-19,,,,,,,,
2023-03-02,buy,70.20879120879121,1776121.8000966553,2023-03-02,,,,,,,,
2023-03-03,sell,69.0153801843318,1776121.8000966553,2023-03-03,,,,,,,,
2023-03-27,buy,69.61004491629235,1764568.5391590206,2023-03-27,,,,,,,,
2023-03-28,sell,69.15678033401629,1764568.5391590206,2023-03-28,,,,,,,,
2023-04-02,buy,69.5,1764179.624492354,2023-04-02,,,,,,,,
2023-04-22,sell,69.3,1759495.7391590206,2023-04-22,,,,,,,,
2023-05-10,buy,69.45225806451614,1772443.638513859,2023-05-10,,,,,,,,
2023-07-17,sell,72.27096774193548,1830831.6436751487,2023-07-17,,,,,,,,
2023-07-24,buy,72.9,1830831.6436751487,2023-07-24,,,,,,,,
2023-08-04,sell,72.71290322580646,1826137.5727074072,2023-08-04,,,,,,,,
2023-09-06,buy,72.20333333333333,1840054.9277074072,2023-09-06,,,,,,,,
2023-10-17,sell,79.525,2011126.8027074076,2023-10-17,,,,,,,,
2023-10-18,buy,80.04755760368664,2021898.360487745,2023-10-18,,,,,,,,
2023-11-09,sell,77.0,1934636.1544124763,2023-11-09,,,,,,,,
2024-01-15,buy,70.59943074003795,1942907.0531532047,2024-01-15,,,,,,,,
2024-01-24,sell,67.12903225806451,1839633.9959684536,2024-01-24,,,,,,,,
2024-01-30,buy,69.96304985337242,1842468.783065228,2024-01-30,,,,,,,,
2024-03-25,sell,90.16178391146148,2370214.342206337,2024-03-25,,,,,,,,
2024-03-26,buy,103.36234827582132,2474102.9514321936,2024-03-26,,,,,,,,
2024-04-04,sell,93.49968336648688,2144280.4144633035,2024-04-04,,,,,,,,
2024-05-14,buy,81.97908948534842,2388788.771331268,2024-05-14,,,,,,,,
2024-07-10,sell,186.16822762678424,4866742.5940990215,2024-07-10,,,,,,,,
2024-07-12,buy,190.3432745836905,4906668.93669666,2024-07-12,,,,,,,,
2024-07-14,sell,190.6786712385413,4875309.295457222,2024-07-14,,,,,,,,
2024-07-15,buy,195.3336000464744,4991568.374813044,2024-07-15,,,,,,,,
2024-07-18,sell,190.50727355875048,4754974.497138801,2024-07-18,,,,,,,,
2024-08-16,buy,177.4264057881337,4789353.955901894,2024-08-16,,,,,,,,
2024-10-05,sell,231.7258064516129,6208678.051701466,2024-10-05,,,,,,,,
2017-01-20,,,,,,,,,buy,126.0,100000.0,2017-01-20
2017-03-29,,,,,,,,,sell,314.0,248896.0,2017-03-29
2023-08-03,,,,,,,,,buy,72.80645161290323,248576.5322580645,2023-08-03
2024-01-03,,,,,,,,,buy,67.2709677419355,230918.49032258065,2024-01-03
